name	terms	is_query
MRPL22	mitochondrial gene expression;ribosome biogenesis;RNA binding;structural molecule activity;ribosome;mitochondrion	False
MRPL23	mitochondrial gene expression;RNA binding;structural molecule activity;nucleolus;ribosome;mitochondrion	False
MRPL28	mitochondrial gene expression;RNA binding;structural molecule activity;ribosome;cytosol;mitochondrion	False
MRPL33	mitochondrial gene expression;structural molecule activity;ribosome;mitochondrion	False
MRPL37	mitochondrial gene expression;RNA binding;structural molecule activity;ribosome;mitochondrion	False
MRPL4	mitochondrial gene expression;RNA binding;structural molecule activity;ribosome;mitochondrion	False
MRPL41	mitochondrial gene expression;programmed cell death;RNA binding;structural molecule activity;ribosome;mitochondrion	False
MRPL43	mitochondrial gene expression;RNA binding;structural molecule activity;ribosome;mitochondrion	False
MRPL53	mitochondrial gene expression;ribosome;mitochondrion	False
MRPL55	mitochondrial gene expression;structural molecule activity;ribosome;mitochondrion	False
MRPS16	mitochondrial gene expression;structural molecule activity;ribosome;cytosol;mitochondrion	False
MRPS17	mitochondrial gene expression;structural molecule activity;RNA binding;ribosome;mitochondrion	False
MRPS18A	mitochondrial gene expression;structural molecule activity;RNA binding;ribosome;mitochondrion	False
MRPS2	mitochondrial gene expression;ribosome biogenesis;structural molecule activity;ribosome;mitochondrion	False
MRPS23	mitochondrial gene expression;RNA binding;structural molecule activity;nuclear envelope;ribosome;mitochondrion	False
MRPS24	mitochondrial gene expression;RNA binding;structural molecule activity;ribosome;mitochondrion	False
MRPS25	mitochondrial gene expression;structural molecule activity;ribosome;mitochondrion	False
MRPS30	mitochondrial gene expression;programmed cell death;RNA binding;structural molecule activity;ribosome;mitochondrion	False
MRPS6	mitochondrial gene expression;structural molecule activity;RNA binding;ribosome;mitochondrion	False
MSN	anatomical structure development;cytoskeleton organization;immune system process;cell differentiation;cell adhesion;establishment or maintenance of cell polarity;protein-containing complex assembly;vesicle-mediated transport;protein catabolic process;cell motility;RNA binding;structural molecule activity;cytoskeletal protein binding;cytoskeleton;nucleus;plasma membrane;cytosol;organelle;extracellular space	False
MSRA	protein modification process;sulfur compound metabolic process;amino acid metabolic process;oxidoreductase activity;cytoskeleton;nucleoplasm;plasma membrane;cytosol;organelle;extracellular space;mitochondrion	False
MSTO1	mitochondrion organization;cytosol;mitochondrion	False
MTAP	sulfur compound metabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;amino acid metabolic process;transferase activity;cytosol;nucleoplasm;extracellular space;organelle	False
MT-CO2	anatomical structure development;generation of precursor metabolites and energy;transmembrane transport;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;mitochondrion	False
MTERF3	DNA-templated transcription;regulation of DNA-templated transcription;mitochondrial gene expression;ribosome biogenesis;DNA binding;cytosol;mitochondrion	False
MTHFD1	cellular modified amino acid metabolic process;anatomical structure development;immune system process;carbohydrate derivative metabolic process;sulfur compound metabolic process;nucleobase-containing small molecule metabolic process;amino acid metabolic process;ligase activity;oxidoreductase activity;hydrolase activity;cytosol;organelle;extracellular space;mitochondrion	False
MTHFS	vitamin metabolic process;cellular modified amino acid metabolic process;amino acid metabolic process;ligase activity;cytosol;mitochondrion	False
MTPN	anatomical structure development;cytoskeleton organization;cell differentiation;protein-containing complex assembly;muscle system process;regulation of DNA-templated transcription;DNA binding;cytoskeleton;cytosol;nucleus	False
MTX2	intracellular protein transport;membrane organization;mitochondrion organization;nucleolus;mitochondrion	False
MTX3	membrane organization;mitochondrion organization;mitochondrion	False
MYADM	cytoskeleton organization;anatomical structure development;cell differentiation;cell adhesion;protein-containing complex assembly;protein modification process;membrane organization;signaling;cell motility;cytoskeleton;plasma membrane	False
MYCBP	reproductive process;regulation of DNA-templated transcription;transcription regulator activity;nucleoplasm;nucleus;mitochondrion	False
MYD88	anatomical structure development;immune system process;cell differentiation;defense response to other organism;mRNA metabolic process;protein-containing complex assembly;chromatin organization;regulation of DNA-templated transcription;vesicle-mediated transport;programmed cell death;inflammatory response;protein modification process;signaling;cell motility;catalytic activity, acting on a protein;catalytic activity, acting on DNA;ATP-dependent activity;molecular carrier activity;nucleus;plasma membrane;cytosol;endosome;organelle	False
MYDGF	anatomical structure development;regulation of DNA-templated transcription;programmed cell death;protein modification process;signaling;endoplasmic reticulum;organelle;extracellular space;Golgi apparatus	False
MYG1	hydrolase activity;nucleolus;nucleoplasm;nucleus;mitochondrion	False
MYH9	protein maturation;cytoskeleton organization;immune system process;anatomical structure development;cell differentiation;cell adhesion;establishment or maintenance of cell polarity;cytokinesis;vesicle-mediated transport;reproductive process;membrane organization;signaling;cell motility;wound healing;cytoskeletal motor activity;molecular adaptor activity;ATP-dependent activity;RNA binding;cytoskeletal protein binding;cytoskeleton;nucleus;nucleoplasm;plasma membrane;cytosol;organelle;extracellular space;cytoplasmic vesicle	False
MYL12A	cell adhesion;wound healing;cytosol;organelle;extracellular space	False
MYL12B	anatomical structure development;cytoskeleton;cytosol;organelle;extracellular space	False
MYL6B	muscle system process;anatomical structure development;structural molecule activity;cytoskeletal motor activity;cytoskeleton;cytosol;organelle;extracellular space	False
MYO1C	cytoskeleton organization;immune system process;intracellular protein transport;cell junction organization;defense response to other organism;signaling;cell motility;cytoskeletal motor activity;cytoskeletal protein binding;ATP-dependent activity;nucleolus;cytoskeleton;nucleoplasm;plasma membrane;cytosol;organelle;extracellular space;cytoplasmic vesicle	False
MYOF	circulatory system process;muscle system process;membrane organization;signaling;wound healing;lipid binding;plasma membrane;nuclear envelope;organelle;extracellular space;cytoplasmic vesicle	False
NAA10	protein modification process;mitotic nuclear division;protein maturation;chromosome segregation;transferase activity;nucleolus;cytosol;nucleus	False
NAA20	protein modification process;protein maturation;transferase activity;cytosol;nucleus	False
NAA30	protein modification process;protein maturation;transferase activity;cytosol;nucleus	False
NAA50	protein modification process;mitotic nuclear division;protein maturation;chromosome segregation;catalytic activity, acting on a protein;transferase activity;nucleolus;nucleus;cytosol;organelle;extracellular space	False
NAE1	programmed cell death;protein modification process;protein catabolic process;mitotic cell cycle;signaling;catalytic activity, acting on a protein;ligase activity;ATP-dependent activity;cytosol;nucleus;plasma membrane	False
NAGK	carbohydrate metabolic process;carbohydrate derivative metabolic process;transferase activity;cytosol;organelle;extracellular space	False
NAMPT	regulation of DNA-templated transcription;signaling;nucleobase-containing small molecule metabolic process;receptor ligand activity;transferase activity;cytosol;nucleoplasm;extracellular space;organelle	False
NANS	carbohydrate metabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;transferase activity;cytosol;organelle;extracellular space	False
NAP1L1	DNA replication;anatomical structure development;cell differentiation;protein-containing complex assembly;chromatin organization;RNA binding;histone binding;molecular carrier activity;chromosome;nucleus;cytoplasmic vesicle	False
NAPA	anatomical structure development;intracellular protein transport;cell differentiation;protein-containing complex assembly;vesicle-mediated transport;membrane organization;signaling;molecular adaptor activity;cytosol;organelle;extracellular space;plasma membrane	False
NARS1	tRNA metabolic process;anatomical structure development;cell motility;amino acid metabolic process;ligase activity;catalytic activity, acting on RNA;cytosol;organelle;extracellular space	False
NAXE	nucleobase-containing small molecule metabolic process;membrane organization;anatomical structure development;isomerase activity;cilium;organelle;extracellular region;mitochondrion;extracellular space	False
NBDY	mRNA metabolic process;organelle	False
NCBP2	DNA-templated transcription;nucleocytoplasmic transport;mRNA metabolic process;regulation of DNA-templated transcription;RNA-mediated gene silencing;cytoplasmic translation;protein modification process;RNA binding;DNA binding;cytosol;nucleoplasm;nucleus	False
NCS1	cell differentiation;transmembrane transport;anatomical structure development;molecular function regulator activity;transporter activity;organelle;plasma membrane;Golgi apparatus	False
NDRG1	anatomical structure development;immune system process;cell differentiation;membrane organization;signaling;cytoskeletal protein binding;cytoskeleton;nucleus;plasma membrane;cytosol;endosome;organelle;extracellular space;microtubule organizing center	False
NDUFA1	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;mitochondrion	False
NDUFA10	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;mitochondrion	False
NDUFA12	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;cytosol;mitochondrion	False
NDUFA2	anatomical structure development;generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;mitochondrion	False
NDUFA3	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;mitochondrion	False
NDUFA4	transmembrane transport;generation of precursor metabolites and energy;oxidoreductase activity;transporter activity;mitochondrion	False
NDUFA5	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;mitochondrion	False
NDUFA6	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;mitochondrion	False
NDUFA9	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;nucleus;mitochondrion	False
NDUFAB1	protein maturation;generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;lipid metabolic process;protein modification process;sulfur compound metabolic process;mitochondrion organization;nucleobase-containing small molecule metabolic process;lipid binding;molecular carrier activity;cytosol;nucleoplasm;mitochondrion	False
NDUFAF4	defense response to other organism;mitochondrion organization;protein-containing complex assembly;programmed cell death;mitochondrion	False
NDUFAF7	protein modification process;mitochondrion organization;protein-containing complex assembly;catalytic activity, acting on a protein;transferase activity;extracellular space;mitochondrion	False
NDUFB1	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;nucleoplasm;mitochondrion	False
NDUFB2	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;mitochondrion	False
NDUFB3	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;mitochondrion	False
NDUFB7	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;mitochondrion	False
NDUFC1	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;mitochondrion	False
NDUFS2	anatomical structure development;generation of precursor metabolites and energy;cell differentiation;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;small molecule sensor activity;transporter activity;nucleoplasm;mitochondrion	False
NDUFS3	anatomical structure development;generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;programmed cell death;signaling;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;nucleoplasm;mitochondrion	False
NDUFS7	generation of precursor metabolites and energy;transmembrane transport;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;plasma membrane;mitochondrion	False
NDUFS8	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;protein-containing complex assembly;mitochondrion organization;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transporter activity;mitochondrion	False
NEDD4L	anatomical structure development;cell differentiation;transmembrane transport;circulatory system process;muscle system process;vesicle-mediated transport;protein modification process;protein catabolic process;catalytic activity, acting on a protein;molecular function regulator activity;transferase activity;nucleoplasm;plasma membrane;Golgi apparatus;cytosol;endosome;organelle;extracellular space	False
NELFA	protein modification process;regulation of DNA-templated transcription;molecular adaptor activity;cytosol;nucleoplasm;nucleus	False
NFKBIB	DNA-templated transcription;regulation of DNA-templated transcription;inflammatory response;signaling;transcription regulator activity;cytosol;nucleus	False
NFU1	sulfur compound metabolic process;cytosol;nucleoplasm;nucleus;mitochondrion	False
NHEJ1	DNA repair;anatomical structure development;immune system process;cell differentiation;DNA recombination;DNA binding;nucleolus;chromosome;nucleoplasm;nucleus	False
NIBAN1	protein modification process;cytosol;organelle;extracellular space;plasma membrane	False
NIBAN2	anatomical structure development;cell differentiation;chromatin organization;regulation of DNA-templated transcription;programmed cell death;endocrine process;signaling;transcription regulator activity;nucleoplasm;nucleus;plasma membrane;cytosol;organelle;extracellular space	False
NIF3L1	cell differentiation;regulation of DNA-templated transcription;anatomical structure development;nucleus;mitochondrion	False
NIP7	ribosome biogenesis;RNA binding;nucleolus;cytosol;nucleoplasm	False
NIPSNAP1	nervous system process;plasma membrane;mitochondrion	False
NIPSNAP2	transmembrane transport;mitochondrion organization;generation of precursor metabolites and energy;mitochondrion	False
NIT1	hydrolase activity;nucleus;mitochondrion	False
NIT2	amino acid metabolic process;hydrolase activity;cytoplasmic vesicle;cytosol;organelle;extracellular region;extracellular space;microtubule organizing center	False
NME1	anatomical structure development;cell differentiation;carbohydrate derivative metabolic process;vesicle-mediated transport;programmed cell death;nucleobase-containing small molecule metabolic process;transferase activity;RNA binding;hydrolase activity;catalytic activity, acting on DNA;nucleus;plasma membrane;cytosol;organelle;extracellular space	False
NME2	anatomical structure development;cell differentiation;cell adhesion;carbohydrate derivative metabolic process;regulation of DNA-templated transcription;programmed cell death;protein modification process;signaling;nucleobase-containing small molecule metabolic process;transcription regulator activity;catalytic activity, acting on a protein;DNA binding;transferase activity;nucleus;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
NME2P1	carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;programmed cell death;transferase activity;nucleus;extracellular space;organelle	False
NME6	mitotic nuclear division;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;programmed cell death;transferase activity;mitochondrion	False
NMI	immune system process;defense response to other organism;inflammatory response;protein modification process;signaling;cytosol;nucleoplasm;nucleus;extracellular space	False
NMRAL1	cytosol;nucleoplasm;nucleus	False
NMT1	anatomical structure development;intracellular protein transport;programmed cell death;protein modification process;membrane organization;signaling;mitochondrion organization;catalytic activity, acting on a protein;transferase activity;cytosol;plasma membrane;mitochondrion	False
NMT2	protein modification process;signaling;catalytic activity, acting on a protein;transferase activity;cytosol;plasma membrane;Golgi apparatus	False
NNMT	anatomical structure development;carbohydrate metabolic process;vitamin metabolic process;protein modification process;nucleobase-containing small molecule metabolic process;transferase activity;cytosol	False
NOB1	nervous system process;ribosome biogenesis;catalytic activity, acting on RNA;hydrolase activity;cytosol;nucleoplasm	False
NOC4L	ribosome biogenesis;RNA binding;nucleolus;nuclear envelope;nucleoplasm;nucleus	False
NOLC1	anatomical structure development;intracellular protein transport;cell differentiation;nucleocytoplasmic transport;regulation of DNA-templated transcription;ribosome biogenesis;mitotic cell cycle;molecular adaptor activity;molecular function regulator activity;RNA binding;nucleolus;nucleoplasm	False
NOMO2	endoplasmic reticulum	False
NONO	DNA repair;immune system process;defense response to other organism;mRNA metabolic process;DNA recombination;regulation of DNA-templated transcription;programmed cell death;signaling;RNA binding;DNA binding;nucleolus;chromosome;nucleoplasm;nucleus	False
NOP56	ribosome biogenesis;RNA binding;nucleolus;nucleoplasm	False
NPEPPS	intracellular protein transport;protein modification process;mitochondrion organization;catalytic activity, acting on a protein;hydrolase activity;cytosol;nucleus;extracellular space;organelle	False
NPM1	DNA repair;cytoskeleton organization;intracellular protein transport;nucleocytoplasmic transport;protein-containing complex assembly;mRNA metabolic process;chromatin organization;regulation of DNA-templated transcription;ribosome biogenesis;programmed cell death;protein modification process;signaling;molecular adaptor activity;transcription regulator activity;molecular function regulator activity;DNA binding;RNA binding;histone binding;nucleolus;nucleoplasm;nucleus;cytosol;microtubule organizing center	False
NPM3	DNA-templated transcription;chromatin organization;ribosome biogenesis;RNA binding;histone binding;nucleolus;cytoskeleton;cytosol;nucleoplasm	False
NQO1	programmed cell death;immune system process;defense response to other organism;protein catabolic process;aging;vitamin metabolic process;protein modification process;detoxification;signaling;nucleobase-containing small molecule metabolic process;RNA binding;oxidoreductase activity;antioxidant activity;cytosol;nucleus	False
NR2C2AP	nucleoplasm	False
NRDC	cell differentiation;protein catabolic process;nervous system process;anatomical structure development;catalytic activity, acting on a protein;hydrolase activity;cytosol;mitochondrion	False
NRGN	nervous system process;signaling;anatomical structure development;lipid binding;nucleus;plasma membrane;cytosol;organelle;mitochondrion;cytoplasmic vesicle	False
NSF	intracellular protein transport;protein catabolic process;protein localization to plasma membrane;vesicle-mediated transport;membrane organization;signaling;hydrolase activity;ATP-dependent activity;plasma membrane;Golgi apparatus;lysosome;cytosol;organelle	False
NSUN4	ribosome biogenesis;catalytic activity, acting on RNA;transferase activity;RNA binding;ribosome;mitochondrion	False
NT5DC1	hydrolase activity	False
NTMT1	protein modification process;chromosome segregation;cytoskeleton organization;catalytic activity, acting on a protein;transferase activity;cytosol;nucleoplasm;nucleus	False
NUBP1	sulfur compound metabolic process;cytoskeleton organization;ATP-dependent activity;molecular carrier activity;nucleus;plasma membrane;cilium;cytosol;microtubule organizing center	False
NUBP2	sulfur compound metabolic process;ATP-dependent activity;molecular carrier activity;microtubule organizing center;cytosol;nucleus;cilium	False
NUDCD1	immune system process;cytosol;nucleoplasm	False
NUDCD2	protein folding;cytosol;chromosome;cytoskeleton;microtubule organizing center	False
NUDT1	DNA repair;anatomical structure development;carbohydrate derivative metabolic process;aging;reproductive process;nucleobase-containing small molecule metabolic process;RNA binding;hydrolase activity;nucleus;plasma membrane;nuclear envelope;cytosol;extracellular space;mitochondrion;cytoplasmic vesicle	False
NUDT15	mitotic cell cycle;protein catabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;hydrolase activity;cytosol	False
NUDT16	nucleobase-containing small molecule metabolic process;ribosome biogenesis;carbohydrate derivative metabolic process;mRNA metabolic process;catalytic activity, acting on a protein;RNA binding;catalytic activity, acting on RNA;hydrolase activity;nucleolus;nucleoplasm;nucleus	False
NUDT16L1	DNA repair;RNA binding;nucleus	False
NUDT19	lipid metabolic process;sulfur compound metabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;hydrolase activity;cytosol;peroxisome	False
NUDT2	carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;programmed cell death;hydrolase activity;mitochondrion	False
NUDT21	cell differentiation;protein-containing complex assembly;mRNA metabolic process;anatomical structure development;RNA binding;microtubule organizing center;nucleoplasm;nucleus	False
NUDT3	carbohydrate derivative metabolic process;signaling;nucleobase-containing small molecule metabolic process;hydrolase activity;cytosol;nucleus	False
NUDT4B	carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;RNA binding;hydrolase activity;cytosol;nucleus	False
NUDT5	chromatin organization;carbohydrate metabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;hydrolase activity;RNA binding;transferase activity;cytosol;nucleus;extracellular space;organelle	False
NUMA1	chromosome segregation;cytoskeleton organization;anatomical structure development;cell differentiation;establishment or maintenance of cell polarity;protein-containing complex assembly;mitotic nuclear division;reproductive process;mitotic cell cycle;signaling;structural molecule activity;cytoskeletal protein binding;lipid binding;cytoskeleton;nucleus;nucleoplasm;plasma membrane;chromosome;cytosol;organelle;extracellular space;microtubule organizing center	False
NUP153	intracellular protein transport;nucleocytoplasmic transport;protein-containing complex assembly;molecular adaptor activity;structural molecule activity;DNA binding;nucleolus;nucleoplasm;nucleus;nuclear envelope;cytosol	False
NUP160	nucleocytoplasmic transport;anatomical structure development;structural molecule activity;nuclear envelope;chromosome;cytosol	False
NUP35	intracellular protein transport;nucleocytoplasmic transport;structural molecule activity;lipid binding;nuclear envelope;cytosol;nucleoplasm;plasma membrane	False
NUP37	nucleocytoplasmic transport;chromosome segregation;nucleoplasm;nucleus;nuclear envelope;chromosome;cytosol	False
NUP43	nucleocytoplasmic transport;chromosome segregation;nuclear envelope;chromosome;cytosol;nucleoplasm	False
NUP98	intracellular protein transport;nucleocytoplasmic transport;protein-containing complex assembly;mRNA metabolic process;regulation of DNA-templated transcription;catalytic activity, acting on a protein;structural molecule activity;transcription regulator activity;hydrolase activity;RNA binding;nucleoplasm;nucleus;nuclear envelope;chromosome;cytosol	False
NUTF2	intracellular protein transport;nucleocytoplasmic transport;structural molecule activity;nucleoplasm;nuclear envelope;cytosol;organelle;extracellular space	False
NXT1	intracellular protein transport;nucleocytoplasmic transport;cytosol;nuclear envelope;nucleoplasm;nucleus	False
OARD1	protein modification process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;hydrolase activity;nucleolus;chromosome;nucleoplasm	False
OAT	nervous system process;amino acid metabolic process;transferase activity;nucleoplasm;mitochondrion	False
OGA	protein glycosylation;protein modification process;protein catabolic process;carbohydrate derivative metabolic process;hydrolase activity;cytosol;nucleus	False
OGDH	anatomical structure development;generation of precursor metabolites and energy;cell differentiation;carbohydrate metabolic process;carbohydrate derivative metabolic process;cell motility;protein modification process;sulfur compound metabolic process;nucleobase-containing small molecule metabolic process;oxidoreductase activity;nucleus;mitochondrion	False
OGFOD1	protein modification process;catalytic activity, acting on a protein;oxidoreductase activity;cytosol;nucleoplasm;organelle	False
OGFR	molecular transducer activity;nucleus	False
OLA1	carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;hydrolase activity;ATP-dependent activity;nucleolus;cytoplasmic vesicle;cytosol;organelle;extracellular region;extracellular space;microtubule organizing center	False
OR11H2	signaling;nervous system process;molecular transducer activity;plasma membrane	False
OST4	protein glycosylation;endoplasmic reticulum	False
OTUB1	protein modification process;DNA repair;immune system process;catalytic activity, acting on a protein;hydrolase activity;nucleus;nucleoplasm;cytosol;organelle;extracellular space	False
OVCA2	hydrolase activity;nucleus	False
OXCT1	lipid metabolic process;signaling;anatomical structure development;generation of precursor metabolites and energy;transferase activity;mitochondrion	False
P4HA1	protein modification process;extracellular matrix organization;catalytic activity, acting on a protein;oxidoreductase activity;endoplasmic reticulum;organelle;mitochondrion	False
P4HB	protein maturation;protein folding;cell adhesion;vesicle-mediated transport;programmed cell death;protein modification process;signaling;catalytic activity, acting on a protein;isomerase activity;cytoskeletal protein binding;RNA binding;oxidoreductase activity;endoplasmic reticulum;cytoskeleton;plasma membrane;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
PA2G4	cell differentiation;regulation of DNA-templated transcription;ribosome biogenesis;programmed cell death;transcription regulator activity;RNA binding;nucleolus;nucleus;lysosome;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
PABPC1	RNA-mediated gene silencing;mRNA metabolic process;cytoplasmic translation;RNA binding;translation regulator activity;cytosol;nucleus;extracellular space;organelle	False
PABPC4	cell differentiation;anatomical structure development;mRNA metabolic process;wound healing;RNA binding;cytosol;nucleus;organelle	False
PAFAH1B2	lipid metabolic process;reproductive process;anatomical structure development;autophagy;hydrolase activity;transferase activity;nucleolus;plasma membrane;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
PAFAH1B3	lipid metabolic process;reproductive process;anatomical structure development;hydrolase activity;transferase activity;cytosol	False
PAIP1	mRNA metabolic process;cytoplasmic translation;RNA binding;translation regulator activity;cytosol	False
PAPSS1	nucleobase-containing small molecule metabolic process;sulfur compound metabolic process;carbohydrate derivative metabolic process;anatomical structure development;transferase activity;cytosol	False
PARK7	immune system process;nucleocytoplasmic transport;carbohydrate derivative metabolic process;protein-containing complex assembly;autophagy;protein catabolic process;mitochondrion organization;cellular modified amino acid metabolic process;generation of precursor metabolites and energy;transmembrane transport;signaling;nucleobase-containing small molecule metabolic process;DNA repair;intracellular protein transport;regulation of DNA-templated transcription;reproductive process;inflammatory response;protein modification process;amino acid metabolic process;programmed cell death;detoxification;catalytic activity, acting on a protein;antioxidant activity;lyase activity;transcription regulator activity;molecular function regulator activity;hydrolase activity;molecular carrier activity;RNA binding;oxidoreductase activity;small molecule sensor activity;endoplasmic reticulum;nucleoplasm;nucleus;plasma membrane;chromosome;cytosol;organelle;extracellular space;mitochondrion	False
PARN	reproductive process;telomere organization;mRNA metabolic process;RNA binding;catalytic activity, acting on RNA;hydrolase activity;nucleolus;cytosol;nucleus;nucleoplasm	False
PARP1	DNA replication;anatomical structure development;immune system process;carbohydrate derivative metabolic process;protein-containing complex assembly;telomere organization;mitochondrion organization;cell differentiation;carbohydrate metabolic process;defense response to other organism;signaling;nucleobase-containing small molecule metabolic process;DNA-templated transcription;DNA repair;regulation of DNA-templated transcription;reproductive process;protein modification process;protein maturation;DNA recombination;muscle system process;programmed cell death;catalytic activity, acting on a protein;RNA binding;DNA binding;transferase activity;nucleolus;nucleus;nuclear chromosome;nucleoplasm;nuclear envelope;chromosome;cytosol;mitochondrion	False
PATL1	mRNA metabolic process;RNA binding;cytosol;organelle;nucleoplasm	False
PBDC1		False
PCBP1	regulation of DNA-templated transcription;transcription regulator activity;RNA binding;DNA binding;nucleus;nucleoplasm;cytosol;organelle;extracellular space	False
PCBP2	immune system process;defense response to other organism;mRNA metabolic process;regulation of DNA-templated transcription;protein catabolic process;RNA binding;DNA binding;nucleoplasm;nucleus;cytosol;organelle;extracellular space	False
PCIF1	mRNA metabolic process;catalytic activity, acting on RNA;transferase activity;cytoskeleton;nucleoplasm;nucleus	False
PCK2	anatomical structure development;cell differentiation;carbohydrate metabolic process;lipid metabolic process;signaling;lyase activity;cytosol;mitochondrion	False
PCMT1	protein modification process;catalytic activity, acting on a protein;transferase activity;cytosol;organelle;extracellular space;extracellular region	False
PCNP	protein modification process;protein catabolic process;nucleoplasm;nucleus	False
PDCD10	anatomical structure development;intracellular protein transport;programmed cell death;protein modification process;signaling;cell motility;wound healing;plasma membrane;Golgi apparatus;cytosol;organelle;extracellular space	False
PDCD2L	programmed cell death	False
PDCD6	anatomical structure development;intracellular protein transport;cell differentiation;protein-containing complex assembly;vesicle-mediated transport;programmed cell death;protein modification process;membrane organization;signaling;cell motility;molecular adaptor activity;endoplasmic reticulum;nucleoplasm;nucleus;endosome;cytosol;organelle;extracellular space;cytoplasmic vesicle	False
PDCD6IP	cytoskeleton organization;cell junction organization;establishment or maintenance of cell polarity;protein-containing complex assembly;protein catabolic process;cytokinesis;vesicle-mediated transport;programmed cell death;mitotic cell cycle;membrane organization;endoplasmic reticulum;cytoskeleton;plasma membrane;cytoplasmic vesicle;cytosol;organelle;extracellular space;extracellular region;endosome;microtubule organizing center	False
PDE12	generation of precursor metabolites and energy;defense response to other organism;mRNA metabolic process;immune system process;catalytic activity, acting on RNA;hydrolase activity;cytosol;mitochondrion	False
PDE6D	nervous system process;molecular function regulator activity;cytoskeleton;cytosol;cytoplasmic vesicle;cilium	False
PDIA3	protein folding;immune system process;protein-containing complex assembly;programmed cell death;signaling;catalytic activity, acting on a protein;isomerase activity;hydrolase activity;RNA binding;oxidoreductase activity;endoplasmic reticulum;nucleus;endosome;organelle;extracellular space;cytoplasmic vesicle	False
PDIA4	protein folding;catalytic activity, acting on a protein;RNA binding;isomerase activity;oxidoreductase activity;endoplasmic reticulum;cytoplasmic vesicle;extracellular space	False
